CandidateURL,SourceType,SourceQuery,SourceURL,SourceTitle,SourceSnippet,DiscoveredAtUTC
https://nilesbooks.com/,iabx_directory,iabx:author-directory,https://www.iabx.org/author-directory,Ginger Smith,Author Directory | Independent Authors Book Experience (IABX) author directory listing for Ginger Smith,2026-03-11T03:58:49Z
https://www.rmgarino.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,R.M. Garino,"R.M. Garino The Website of Indie Fantasy Author R.M. Garino; Creator of the Chaos Of Souls Series - Where Monsters, Magic, & Mayhem reign! Visit",2026-03-11T03:58:48Z
https://www.tamikareedwrites.com/,iabx_directory,iabx:author-directory,https://www.iabx.org/author-directory,Tamika Reed,Author Directory | Independent Authors Book Experience (IABX) author directory listing for Tamika Reed,2026-03-11T03:58:49Z
https://www.davidgreenwriter.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,David Green,David Green Website of indie fantasy author David Green. Visit,2026-03-11T03:58:48Z
https://www.boobearbooks.com/,iabx_directory,iabx:author-directory,https://www.iabx.org/author-directory,Zoe Duran,Author Directory | Independent Authors Book Experience (IABX) author directory listing for Zoe Duran,2026-03-11T03:58:49Z
https://www.leeconleyauthor.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Lee c. conley,Lee c. conley Website of indie fantasy author Lee C. Conley. Visit,2026-03-11T03:58:48Z
http://www.susenedwardsauthor.com/,iabx_directory,iabx:author-directory,https://www.iabx.org/author-directory,Susen Edwards,Author Directory | Independent Authors Book Experience (IABX) author directory listing for Susen Edwards,2026-03-11T03:58:49Z
http://authordiannagunn.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Author Dianna Gunn,Author Dianna Gunn Website of indie fantasy author Dianna Gunn. Visit,2026-03-11T03:58:48Z
https://tomkranzbooks.com/,iabx_directory,iabx:author-directory,https://www.iabx.org/author-directory,Thomas Kranz,Author Directory | Independent Authors Book Experience (IABX) author directory listing for Thomas Kranz,2026-03-11T03:58:49Z
https://www.mamminabooks.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Mammina Books,Mammina Books Website of indie fantasy author David V. Mammina Visit,2026-03-11T03:58:48Z
https://www.vncbooks.com/,iabx_directory,iabx:author-directory,https://www.iabx.org/author-directory,Virtuous Cornwall,Author Directory | Independent Authors Book Experience (IABX) author directory listing for Virtuous Cornwall,2026-03-11T03:58:49Z
https://authorjackadkins.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Author Jack Adkins,Author Jack Adkins Website of indie fantasy author Jack Adkins Visit,2026-03-11T03:58:48Z
http://authormrosepeluso.com/,iabx_directory,iabx:author-directory,https://www.iabx.org/author-directory,Maryanne (Pen Name: M. Rose) Peluso,Author Directory | Independent Authors Book Experience (IABX) author directory listing for Maryanne (Pen Name: M. Rose) Peluso,2026-03-11T03:58:49Z
https://www.elizabethkleinauthor.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Elizabeth Klein,Elizabeth Klein Website of indie fantasy author Elizabeth Klein. Visit,2026-03-11T03:58:48Z
http://www.jannabluebooks.com/,iabx_directory,iabx:author-directory,https://www.iabx.org/author-directory,Regina Ross,Author Directory | Independent Authors Book Experience (IABX) author directory listing for Regina Ross,2026-03-11T03:58:49Z
https://iankanebooks.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Ian Kane Books,Ian Kane Books Website of indie sci-fi author Ian Kane. Visit,2026-03-11T03:58:48Z
http://www.glassauthor.com,iabx_directory,iabx:author-directory,https://www.iabx.org/author-directory,N Joseph Glass,Author Directory | Independent Authors Book Experience (IABX) author directory listing for N Joseph Glass,2026-03-11T03:58:49Z
https://runesnielsen.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,RUNE S. NIELSEN,RUNE S. NIELSEN The website of indie fantasy author Rune S. Nielsen. Visit,2026-03-11T03:58:48Z
http://www.taowebsites.com,iabx_directory,iabx:author-directory,https://www.iabx.org/author-directory,Tao Websites.,Author Directory | Independent Authors Book Experience (IABX) author directory listing for Tao Websites.,2026-03-11T03:58:49Z
https://ctphipps.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,C.T. Phipps,C.T. Phipps Website of indie sci-fi author and EPIC contributor C.T. Phipps. Visit,2026-03-11T03:58:48Z
https://www.gardnersart.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,D.L Gardner books,D.L Gardner books The website of indie fantasy author D.L. Gardner Visit,2026-03-11T03:58:48Z
https://slynnhelton.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,S. Lynn Helton,S. Lynn Helton The website of indie Fantasy and Children's Books author S.Lynn Helton. Visit,2026-03-11T03:58:48Z
https://erynnlehtonenwriting.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Erynn Lehtonen,Erynn Lehtonen The website for indie fantasy author Erynn Lehtonen. Visit,2026-03-11T03:58:48Z
https://afstewart.ca,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Welcome to Avalon - A. F. Stewart,Welcome to Avalon - A. F. Stewart The website of indie fantasy author A.F. Stewart. Visit,2026-03-11T03:58:48Z
https://shelbyhild.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Shelby Hild,Shelby Hild The website of indie fantasy author Shelby Hild. Visit,2026-03-11T03:58:48Z
https://www.Derricksmythe.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Derrick Smythe,Derrick Smythe Website of indie fantasy author Derrick Smythe. Visit,2026-03-11T03:58:48Z
https://daankatz.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Daan Katz Author,Daan Katz Author Website of indie fantasy author Daan Katz. Visit,2026-03-11T03:58:48Z
https://www.kovakillian.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Kova killian,Kova killian Website of indie fantasy author Kova Killian Visit,2026-03-11T03:58:48Z
https://www.amycampbell.info,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Author Amy Campbell,Author Amy Campbell Website of indie fantasy author Amy Campbell. Visit,2026-03-11T03:58:48Z
https://www.zackargyle.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Zack Argyle,Zack Argyle Website of indie fantasy author Zack Argyle. Visit,2026-03-11T03:58:48Z
https://www.legendsofkalda.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Legends of Kalda,Legends of Kalda Website of indie fantasy authors Dan Zangari and Robert Zangari. Visit,2026-03-11T03:58:48Z
https://mhwoodscourt.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,M.H. Woodscourt Books,M.H. Woodscourt Books Website of indie fantasy author M.H. Woodscourt. Visit,2026-03-11T03:58:48Z
https://www.ejfisch.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,EJ Fisch,EJ Fisch Website of indie sci-fi author EJ Fisch. Visit,2026-03-11T03:58:48Z
https://www.kellannetta.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Kelly Blanchard,Kelly Blanchard Website of indie fantasy author Kelly Blanchard. Visit,2026-03-11T03:58:48Z
https://arhenle.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,A.R. Henle,A.R. Henle Website of indie fantasy author A.R. Henle Visit,2026-03-11T03:58:48Z
https://www.jaimieschock.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Jaimie N. Schock Author,Jaimie N. Schock Author Website of indie fantasy and sci-fi author Jaimie N. Schock Visit,2026-03-11T03:58:48Z
http://www.ljcohen.net,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,LJ Cohen,LJ Cohen Website of indie sci-fi author LJ Cohen. Visit,2026-03-11T03:58:48Z
https://lisamgreen.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Lisa M. Green,"Lisa M. Green Website of indie fantasy author Lisa M. Green, Visit",2026-03-11T03:58:48Z
https://jamesewisher.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,James E. Wisher,James E. Wisher Website of indie fantasy author James E. Wisher Visit,2026-03-11T03:58:48Z
http://martinowton.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Martin Owton,Martin Owton Website of indie fantasy author Martin Owton. Visit,2026-03-11T03:58:48Z
http://www.marilynpeake.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Marilyn Peake,Marilyn Peake Website of indie fantasy author Marilyn Peake. Visit,2026-03-11T03:58:48Z
https://tansielexington.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Tansie Lexington Storyteller,Tansie Lexington Storyteller Website of indie fantasy author Tansie Lexington. Visit,2026-03-11T03:58:48Z
https://jslockard.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,J.S. Lockard,J.S. Lockard Website of indie fantasy author J.S. Lockard Click Here,2026-03-11T03:58:48Z
https://robbwallace.co.uk,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Robb Wallace Author,Robb Wallace Author Website of indie fantasy author Robb Wallace. Visit,2026-03-11T03:58:48Z
https://www.cfwelburn.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,C.F. Welburn,C.F. Welburn Website of indie fantasy author C.F. Welburn. Visit,2026-03-11T03:58:48Z
